# timestamp[ns] tx ty tz qw qx qy qz
1520511143371139237 0.0708945889 -0.3073165079 1.1226922843 0.9986867451 0.0483411317 -0.0169508197 -0.0007680419
1520511143379472237 0.0723049112 -0.3069454325 1.1222358498 0.9986871322 0.0483338459 -0.0169651611 -0.0001859574
1520511143387805237 0.0738128598 -0.3064282738 1.1216917871 0.9986405420 0.0492486772 -0.0170762422 -0.0001940842
1520511143396138237 0.0751649366 -0.3060694682 1.1212415602 0.9986526671 0.0491292155 -0.0167034441 0.0004068738
1520511143404472237 0.0768269860 -0.3056194511 1.1207976225 0.9986022743 0.0499377393 -0.0173116970 -0.0001584639
1520511143412805237 0.0782674048 -0.3053156583 1.1203799946 0.9986325289 0.0497247207 -0.0161191804 0.0008345554
1520511143421138237 0.0798181757 -0.3050480896 1.1198890970 0.9986516945 0.0493493025 -0.0160743663 0.0010267372
1520511143429472237 0.0813182691 -0.3046159907 1.1193983600 0.9986525023 0.0496065581 -0.0152156042 0.0009243454
1520511143437805237 0.0829957493 -0.3042583187 1.1189457750 0.9986533260 0.0495253897 -0.0154360746 0.0007055135
1520511143446139237 0.0845981371 -0.3038199142 1.1184422521 0.9986636784 0.0495332064 -0.0147118367 0.0009385061
1520511143454472237 0.0863781320 -0.3035149497 1.1181188976 0.9986702124 0.0495767717 -0.0140867682 0.0012302732
1520511143462805237 0.0881251340 -0.3029973267 1.1176516710 0.9986755353 0.0494732735 -0.0141136044 0.0006136513
1520511143471139237 0.0898657014 -0.3025746472 1.1172245629 0.9987076567 0.0491103524 -0.0130429536 0.0010349715
1520511143479472237 0.0918187221 -0.3020461781 1.1168283865 0.9986937361 0.0492954643 -0.0134310026 0.0006220200
1520511143487805237 0.0936792183 -0.3015433585 1.1164685451 0.9987018047 0.0493265537 -0.0126719087 0.0010094977
1520511143496139237 0.0957296558 -0.3011153333 1.1161452645 0.9987107504 0.0491391877 -0.0127180694 0.0006542272
1520511143504472237 0.0978334908 -0.3006955821 1.1158504323 0.9987245696 0.0488865253 -0.0125809401 0.0010303457
1520511143512805237 0.0999390371 -0.3002088652 1.1155215637 0.9987166272 0.0489723985 -0.0128773321 0.0009884811
1520511143521138237 0.1020234673 -0.2997373560 1.1152271297 0.9987178226 0.0489945880 -0.0126924096 0.0010694959
1520511143529472237 0.1041503914 -0.2991726450 1.1149319639 0.9987031286 0.0492054657 -0.0130545887 0.0006787785
1520511143537805237 0.1065062622 -0.2987713870 1.1147046301 0.9986901248 0.0493000428 -0.0136849249 0.0005131527
1520511143546138237 0.1087441145 -0.2982074847 1.1143670269 0.9986741462 0.0494682471 -0.0142339086 0.0004878996
1520511143554472237 0.1111462419 -0.2977418081 1.1141209193 0.9986555593 0.0496986500 -0.0147330513 0.0002352642
1520511143562805237 0.1135857570 -0.2972718395 1.1138528953 0.9986449554 0.0498583485 -0.0149040369 0.0005175611
1520511143571139237 0.1161142803 -0.2967825599 1.1136241349 0.9986201002 0.0503110962 -0.0150497373 0.0004410639
1520511143579472237 0.1187483971 -0.2962803083 1.1133330967 0.9985988866 0.0505143692 -0.0157645681 0.0002014228
1520511143587805237 0.1213943425 -0.2957719567 1.1131516779 0.9986031501 0.0504594758 -0.0156699813 0.0002039877
1520511143596139237 0.1241328437 -0.2952125115 1.1129261808 0.9985779995 0.0508173040 -0.0161112603 -0.0000882319
1520511143604472237 0.1269772608 -0.2946873055 1.1127935635 0.9985542717 0.0512481741 -0.0162169987 -0.0000106920
1520511143612805237 0.1297210706 -0.2940616337 1.1127251900 0.9985720065 0.0508925182 -0.0162448311 -0.0000695588
1520511143621139237 0.1326144200 -0.2934703502 1.1126054124 0.9985679533 0.0509481062 -0.0163193185 -0.0001142766
1520511143629472237 0.1355952625 -0.2929075183 1.1124949803 0.9985951998 0.0503627684 -0.0164666845 -0.0002586040
1520511143637805237 0.1386630314 -0.2923684226 1.1125162453 0.9986084597 0.0500333220 -0.0166567857 -0.0006019623
1520511143646138237 0.1417717850 -0.2917657581 1.1125115208 0.9986309708 0.0496636755 -0.0164205102 -0.0002652150
1520511143654472237 0.1449506268 -0.2911189934 1.1125140915 0.9986454062 0.0491780205 -0.0169620377 -0.0010790177
1520511143662805237 0.1482128663 -0.2905664295 1.1126260246 0.9986872532 0.0484457867 -0.0166198030 -0.0007471772
1520511143671138237 0.1515519439 -0.2899071148 1.1126164114 0.9987305268 0.0473525918 -0.0171392688 -0.0011456002
1520511143679472237 0.1549785536 -0.2892489355 1.1127517732 0.9987609259 0.0466771388 -0.0172136183 -0.0012445561
1520511143687805237 0.1584383392 -0.2887450412 1.1128944023 0.9988602816 0.0445445916 -0.0171025527 -0.0011916230
1520511143696139237 0.1620378988 -0.2879182150 1.1129407034 0.9988287217 0.0452539177 -0.0170747843 -0.0013112199
1520511143704472237 0.1656524877 -0.2873631741 1.1130947394 0.9989206825 0.0431136098 -0.0172003392 -0.0016837402
1520511143712805237 0.1692151611 -0.2864769651 1.1130936608 0.9989051834 0.0435443484 -0.0169194710 -0.0024608652
1520511143721139237 0.1730616754 -0.2859558901 1.1132866686 0.9989826470 0.0417275996 -0.0170005896 -0.0018596947
1520511143729472237 0.1768975059 -0.2852974901 1.1134200776 0.9990081899 0.0411807423 -0.0168195630 -0.0019711028
1520511143737805237 0.1808405688 -0.2843480273 1.1135101982 0.9989669315 0.0420623335 -0.0169333245 -0.0030153693
1520511143746139237 0.1846941905 -0.2836565723 1.1135445536 0.9990165782 0.0409780599 -0.0166497016 -0.0030761084
1520511143754472237 0.1887264012 -0.2828888968 1.1136418564 0.9990146499 0.0410666317 -0.0164989114 -0.0033236908
1520511143762805237 0.1928430683 -0.2821487058 1.1137475867 0.9989927719 0.0414746068 -0.0167208963 -0.0037027397
1520511143771138237 0.1970146090 -0.2814354665 1.1139426677 0.9990191681 0.0408865665 -0.0165542475 -0.0038661875
1520511143779472237 0.2012644674 -0.2807733317 1.1140832506 0.9990160637 0.0410803264 -0.0162526385 -0.0038939766
1520511143787805237 0.2054801382 -0.2800290430 1.1141562411 0.9990192726 0.0409152816 -0.0163701550 -0.0042954352
1520511143796138237 0.2097991048 -0.2794330169 1.1143458830 0.9990718139 0.0395030568 -0.0166777550 -0.0041075172
1520511143804472237 0.2142735618 -0.2784230070 1.1145460330 0.9990197483 0.0408054455 -0.0164362156 -0.0049304078
1520511143812805237 0.2186939186 -0.2778557940 1.1146652868 0.9990880782 0.0393034129 -0.0162127445 -0.0039243632
1520511143821139237 0.2232793828 -0.2769648928 1.1147943377 0.9990184626 0.0411197483 -0.0158114491 -0.0046125687
1520511143829472237 0.2277960061 -0.2764201725 1.1149821805 0.9990988700 0.0391213144 -0.0159459339 -0.0040863043
1520511143837805237 0.2324776667 -0.2752946447 1.1151013410 0.9990095026 0.0410696789 -0.0162731561 -0.0053366244
1520511143846139237 0.2371801617 -0.2747933439 1.1153300264 0.9990930612 0.0394428998 -0.0155789116 -0.0038223375
1520511143854472237 0.2419442023 -0.2739161896 1.1154935589 0.9990709314 0.0397507493 -0.0160364866 -0.0044702504
1520511143862805237 0.2467303071 -0.2731265584 1.1157114135 0.9990730085 0.0398992828 -0.0156011085 -0.0042161999
1520511143871139237 0.2514233044 -0.2722828251 1.1157365833 0.9990706225 0.0400634722 -0.0153909860 -0.0039908745
1520511143879472237 0.2563464813 -0.2715256551 1.1160582294 0.9990903356 0.0395335028 -0.0154654622 -0.0040525306
1520511143887805237 0.2612918407 -0.2707577895 1.1163298951 0.9990959167 0.0396359675 -0.0149791101 -0.0034591255
1520511143896138237 0.2661257589 -0.2697134328 1.1164742019 0.9990671520 0.0402498392 -0.0151700397 -0.0038270250
1520511143904472237 0.2711795383 -0.2690802803 1.1168078900 0.9991023998 0.0395262748 -0.0148766296 -0.0032793467
1520511143912805237 0.2762474512 -0.2682996826 1.1171524373 0.9991046229 0.0392468476 -0.0154249642 -0.0034216739
1520511143921138237 0.2812566890 -0.2671096792 1.1174542583 0.9990292117 0.0410266329 -0.0153558963 -0.0046525376
1520511143929472237 0.2862077543 -0.2665617859 1.1178005015 0.9991240273 0.0388207690 -0.0152233593 -0.0035178644
1520511143937805237 0.2914225178 -0.2657827399 1.1182123112 0.9991493103 0.0380287005 -0.0156740881 -0.0029659018
1520511143946139237 0.2964058067 -0.2649664235 1.1185811260 0.9991672141 0.0377292827 -0.0153248274 -0.0025552025
1520511143954472237 0.3016590248 -0.2641611698 1.1190296069 0.9991739513 0.0373649452 -0.0157420345 -0.0027320754
1520511143962805237 0.3067134019 -0.2633344393 1.1194488531 0.9992035266 0.0365759106 -0.0157485954 -0.0025489161
1520511143971139237 0.3118198547 -0.2624289864 1.1199200225 0.9992262012 0.0359394960 -0.0158215055 -0.0022430840
1520511143979472237 0.3170608868 -0.2615810785 1.1204710832 0.9992296966 0.0357070875 -0.0161464066 -0.0020762714
1520511143987805237 0.3220789123 -0.2607349420 1.1209693735 0.9992438388 0.0353776163 -0.0160778357 -0.0012954316
1520511143996139237 0.3275523820 -0.2598456857 1.1216453184 0.9992378358 0.0351631526 -0.0168735321 -0.0016075040
1520511144004472237 0.3324303350 -0.2590076628 1.1221003009 0.9992654545 0.0346776171 -0.0162958667 -0.0006775554
1520511144012805237 0.3378341318 -0.2581211788 1.1228101192 0.9992652757 0.0344056793 -0.0168591540 -0.0009627556
1520511144021138237 0.3430033604 -0.2572004017 1.1233931976 0.9992616128 0.0345034307 -0.0168912137 -0.0006552566
1520511144029472237 0.3481686634 -0.2563766099 1.1240498339 0.9992830476 0.0339258305 -0.0168015761 -0.0003686820
1520511144037805237 0.3531204400 -0.2555630196 1.1246057064 0.9993061260 0.0334068387 -0.0164532737 0.0007344884
1520511144046138237 0.3584080656 -0.2545715974 1.1253356172 0.9992958635 0.0335897096 -0.0167185105 0.0000084523
1520511144054472237 0.3632579685 -0.2536685801 1.1260006698 0.9993022586 0.0337532272 -0.0159867242 0.0003743972
1520511144062805237 0.3685858021 -0.2527295839 1.1267244722 0.9992909652 0.0338593385 -0.0164640931 0.0002139965
1520511144071139237 0.3734364717 -0.2519199855 1.1273860722 0.9993123374 0.0334794080 -0.0159117912 0.0008925006
1520511144079472237 0.3786539931 -0.2509396191 1.1281254933 0.9993045633 0.0335970537 -0.0161699408 0.0004009572
1520511144087805237 0.3834594952 -0.2500602139 1.1287741328 0.9993124003 0.0336144821 -0.0156187847 0.0009202338
1520511144096139237 0.3885862445 -0.2489767806 1.1295272439 0.9992995851 0.0338447497 -0.0159647036 0.0000181746
1520511144104472237 0.3933761794 -0.2481171128 1.1301290523 0.9992900192 0.0341653570 -0.0158423017 0.0010988248
1520511144112805237 0.3985950069 -0.2472779643 1.1308935795 0.9992884185 0.0339326236 -0.0164628301 0.0004571488
1520511144121139237 0.4032772920 -0.2464392948 1.1315761008 0.9992712692 0.0346055720 -0.0160671098 0.0011103422
1520511144129472237 0.4084020861 -0.2455131361 1.1322072514 0.9992383927 0.0351682062 -0.0169027369 0.0003595475
1520511144137805237 0.4129930503 -0.2447151514 1.1328119582 0.9992398763 0.0352474473 -0.0166295199 0.0008637395
1520511144146138237 0.4180603723 -0.2438100713 1.1334765379 0.9992014889 0.0359830956 -0.0173645233 0.0002733037
1520511144154472237 0.4226733303 -0.2431535921 1.1339694712 0.9992000151 0.0359269493 -0.0175245422 0.0012143192
1520511144162805237 0.4278391767 -0.2424901295 1.1346166146 0.9991554217 0.0367493615 -0.0183520777 0.0010625461
1520511144171138237 0.4324154645 -0.2418515220 1.1350013016 0.9991497928 0.0368305338 -0.0183735771 0.0023695838
1520511144179472237 0.4371535806 -0.2411770447 1.1354912669 0.9991053587 0.0378907563 -0.0186176800 0.0024808677
1520511144187805237 0.4422268183 -0.2405087557 1.1359581228 0.9990509853 0.0387757960 -0.0196622782 0.0026384213
1520511144196139237 0.4469166040 -0.2399175563 1.1363731060 0.9990087123 0.0396102214 -0.0200882433 0.0030142268
1520511144204472237 0.4514247246 -0.2394858447 1.1366436426 0.9990079295 0.0393870796 -0.0202017806 0.0048685470
1520511144212805237 0.4564723792 -0.2389041433 1.1370844208 0.9989459987 0.0404502216 -0.0212582559 0.0043310238
1520511144221139237 0.4611344555 -0.2385079834 1.1373759205 0.9989206203 0.0408136136 -0.0214311700 0.0057051028
1520511144229472237 0.4655303725 -0.2382654708 1.1374680272 0.9989313137 0.0405028354 -0.0210189558 0.0073453620
1520511144237805237 0.4704429728 -0.2378254506 1.1378103774 0.9988894966 0.0409391726 -0.0218442548 0.0081600384
1520511144246139237 0.4749223383 -0.2376979478 1.1378395495 0.9988900375 0.0408352497 -0.0216821136 0.0090034028
1520511144254472237 0.4794790158 -0.2373835399 1.1379933700 0.9988649084 0.0409793059 -0.0222157024 0.0098007076
1520511144262805237 0.4841502687 -0.2373015178 1.1379249572 0.9988710836 0.0405807637 -0.0221486393 0.0109177689
1520511144271138237 0.4887981669 -0.2373049619 1.1378769561 0.9988612557 0.0403583292 -0.0224917822 0.0118960831
1520511144279472237 0.4933970301 -0.2372706233 1.1378329528 0.9988292407 0.0408118128 -0.0222280689 0.0134334242
1520511144287805237 0.4978436650 -0.2372556040 1.1375889990 0.9988417476 0.0408803782 -0.0211822718 0.0139738810
1520511144296138237 0.5022352767 -0.2372773191 1.1374194634 0.9988692093 0.0396774472 -0.0211976939 0.0153837766
1520511144304472237 0.5069960907 -0.2376787253 1.1371446433 0.9988769697 0.0396828137 -0.0201067418 0.0163031474
1520511144312805237 0.5112537160 -0.2377250129 1.1367751217 0.9989074551 0.0384289291 -0.0190951500 0.0185064550
1520511144321139237 0.5160003101 -0.2380153569 1.1364785660 0.9989188113 0.0388163215 -0.0187376592 0.0174184336
1520511144329472237 0.5203684208 -0.2382559234 1.1361432884 0.9989422997 0.0380260149 -0.0177840637 0.0187624904
1520511144337805237 0.5249452002 -0.2386383996 1.1356501259 0.9989677582 0.0379751914 -0.0166882998 0.0185149576
1520511144346139237 0.5293898567 -0.2388553626 1.1352008857 0.9989841755 0.0374909123 -0.0163169003 0.0189422121
1520511144354472237 0.5336326666 -0.2393744567 1.1346600727 0.9990365519 0.0362695211 -0.0145482780 0.0199709158
1520511144362805237 0.5380937418 -0.2396493442 1.1341876064 0.9990460620 0.0361392614 -0.0144357674 0.0198123315
1520511144371139237 0.5425247466 -0.2401863207 1.1335108175 0.9990615152 0.0359795499 -0.0128102908 0.0204317732
1520511144379472237 0.5469502197 -0.2405733264 1.1329776953 0.9990896554 0.0350287711 -0.0128860480 0.0206590261
1520511144387805237 0.5513927222 -0.2410432566 1.1322778851 0.9990998191 0.0347596025 -0.0122082897 0.0210304359
1520511144396138237 0.5558724611 -0.2416215259 1.1316368821 0.9991105252 0.0345685925 -0.0118001755 0.0210695668
1520511144404472237 0.5603251226 -0.2421874724 1.1309452270 0.9991223271 0.0342089599 -0.0116812284 0.0211629756
1520511144412805237 0.5647473946 -0.2427664715 1.1302035938 0.9991250335 0.0341017263 -0.0112857072 0.0214213105
1520511144421138237 0.5691599360 -0.2434172629 1.1294595142 0.9991314815 0.0339714349 -0.0110690945 0.0214406009
1520511144429472237 0.5735368051 -0.2442837692 1.1289057111 0.9991539202 0.0333301716 -0.0106266961 0.0216244462
1520511144437805237 0.5781251621 -0.2447789347 1.1280105598 0.9991341435 0.0337568792 -0.0112680845 0.0215514905
1520511144446139237 0.5824316116 -0.2456113116 1.1273075308 0.9991366929 0.0336956842 -0.0110789247 0.0216270012
1520511144454472237 0.5869697407 -0.2463293426 1.1265305010 0.9991219165 0.0337240948 -0.0116210673 0.0219779920
1520511144462805237 0.5915809616 -0.2471397293 1.1258578849 0.9991176094 0.0337669371 -0.0125509810 0.0215932707
1520511144471139237 0.5960584604 -0.2479953165 1.1250600880 0.9990977907 0.0334391014 -0.0133757533 0.0225060053
1520511144479472237 0.6007140360 -0.2487575046 1.1242744039 0.9990649632 0.0335707787 -0.0146484418 0.0229700962
1520511144487805237 0.6053762489 -0.2496427510 1.1235080308 0.9990418630 0.0332348632 -0.0159623586 0.0235797155
1520511144496139237 0.6101226000 -0.2505316549 1.1228216916 0.9990082492 0.0333826356 -0.0171970574 0.0239244396
1520511144504472237 0.6150089030 -0.2511776336 1.1219382540 0.9989613038 0.0335263135 -0.0189026860 0.0243923802
1520511144512805237 0.6199039371 -0.2523245327 1.1213621393 0.9989468752 0.0326297480 -0.0201767513 0.0251662243
1520511144521138237 0.6246828400 -0.2530508292 1.1205527797 0.9989102346 0.0329978134 -0.0213785798 0.0251484374
1520511144529472237 0.6295547026 -0.2540165275 1.1199662165 0.9989067122 0.0321613311 -0.0222064387 0.0256496220
1520511144537805237 0.6345952005 -0.2550912760 1.1194559243 0.9988971623 0.0314340107 -0.0230277333 0.0261932351
1520511144546138237 0.6392659251 -0.2560203126 1.1190072278 0.9989186483 0.0308403006 -0.0227965042 0.0262817282
1520511144554472237 0.6445071408 -0.2568359628 1.1183274313 0.9988745767 0.0308761797 -0.0243119055 0.0265550880
1520511144562805237 0.6497072171 -0.2578747468 1.1180591172 0.9988860424 0.0297068041 -0.0249582323 0.0268564108
1520511144571139237 0.6549508095 -0.2588765283 1.1177503567 0.9988878184 0.0285201514 -0.0255286891 0.0275320391
1520511144579472237 0.6598840909 -0.2597319098 1.1175298115 0.9989251112 0.0274468192 -0.0249723892 0.0277790226
1520511144587805237 0.6654621603 -0.2605200900 1.1171071662 0.9989031943 0.0269909851 -0.0258724134 0.0281871132
1520511144596139237 0.6708631521 -0.2613763932 1.1170025390 0.9988951319 0.0257498797 -0.0263453355 0.0291784586
1520511144604472237 0.6761667715 -0.2620935106 1.1167570721 0.9988948827 0.0250551164 -0.0263011320 0.0298245690
1520511144612805237 0.6817288722 -0.2628361157 1.1166108822 0.9988973702 0.0243194319 -0.0261083665 0.0305116732
1520511144621139237 0.6873552077 -0.2636749810 1.1166910343 0.9988787107 0.0236022505 -0.0259752157 0.0317733115
1520511144629472237 0.6929300041 -0.2639168211 1.1166308446 0.9988811079 0.0241384404 -0.0260789745 0.0312050491
1520511144637805237 0.6988122370 -0.2646825203 1.1168007939 0.9988508626 0.0235091337 -0.0259345422 0.0327364401
1520511144646138237 0.7043770617 -0.2651648560 1.1168583567 0.9988272389 0.0232806711 -0.0257568503 0.0337452503
1520511144654472237 0.7101440422 -0.2656675041 1.1171989632 0.9988202336 0.0223567599 -0.0258487671 0.0344986603
1520511144662805237 0.7157869110 -0.2659046272 1.1173224486 0.9987854616 0.0225988398 -0.0262009605 0.0350771122
1520511144671138237 0.7217574292 -0.2664644397 1.1175319458 0.9987276837 0.0222408943 -0.0266532623 0.0365781359
1520511144679472237 0.7277152111 -0.2670584187 1.1180182836 0.9986569940 0.0207308375 -0.0271311767 0.0389658816
1520511144687805237 0.7335729252 -0.2672566597 1.1182537639 0.9986307658 0.0206042210 -0.0278083240 0.0392269903
1520511144696139237 0.7394803260 -0.2676796406 1.1186177635 0.9985617374 0.0199177502 -0.0287773762 0.0406152986
1520511144704472237 0.7454271500 -0.2680315964 1.1189963912 0.9985153419 0.0191715750 -0.0287234890 0.0421250982
1520511144712805237 0.7514653465 -0.2684348318 1.1193199852 0.9984609725 0.0182306847 -0.0292657023 0.0434378536
1520511144721139237 0.7574708367 -0.2687052015 1.1196337051 0.9984278584 0.0173789729 -0.0290478689 0.0446766634
1520511144729472237 0.7636487363 -0.2691205614 1.1199336816 0.9983602960 0.0162802076 -0.0296730957 0.0461647229
1520511144737805237 0.7694644894 -0.2696461447 1.1203158271 0.9983379421 0.0143022344 -0.0291920817 0.0475880430
1520511144746139237 0.7757740878 -0.2695430978 1.1204942239 0.9982850272 0.0157278096 -0.0292563229 0.0482048555
1520511144754472237 0.7816140013 -0.2701769999 1.1208661420 0.9982448981 0.0136313426 -0.0281389732 0.0502942154
1520511144762805237 0.7875391743 -0.2701971216 1.1210527892 0.9982363906 0.0137621683 -0.0281640979 0.0504132394
1520511144771138237 0.7933986246 -0.2704828970 1.1214667142 0.9981955895 0.0135586752 -0.0270241694 0.0518789142
1520511144779472237 0.7994163857 -0.2706190307 1.1217268501 0.9981548302 0.0138575824 -0.0266022818 0.0527941380
1520511144787805237 0.8052959843 -0.2706038086 1.1220122719 0.9981127141 0.0144195772 -0.0264280070 0.0535223891
1520511144796138237 0.8112423686 -0.2704745166 1.1221613679 0.9980783198 0.0154450726 -0.0260941252 0.0540390041
1520511144804472237 0.8170850569 -0.2704200861 1.1223689615 0.9980195209 0.0164157180 -0.0260911367 0.0548344120
1520511144812805237 0.8230611852 -0.2702486008 1.1226629438 0.9979920571 0.0175021980 -0.0259398739 0.0550695011
1520511144821139237 0.8290095832 -0.2701585545 1.1229812970 0.9979377978 0.0185205732 -0.0259450659 0.0557134959
1520511144829472237 0.8347833899 -0.2698873740 1.1231170869 0.9978847511 0.0193543182 -0.0257746485 0.0564544181
1520511144837805237 0.8406588564 -0.2697776074 1.1233996536 0.9978080747 0.0198787295 -0.0258771245 0.0575695813
1520511144846139237 0.8465174227 -0.2695078771 1.1237004963 0.9978016700 0.0205272520 -0.0257685974 0.0575016401
1520511144854472237 0.8522787082 -0.2692610604 1.1238929569 0.9977510200 0.0210128574 -0.0257887993 0.0581919212
1520511144862805237 0.8580127229 -0.2689228775 1.1240146645 0.9977260256 0.0215985567 -0.0260453600 0.0582916759
1520511144871139237 0.8638307524 -0.2687630602 1.1242841100 0.9977065402 0.0210426675 -0.0260805918 0.0588104456
1520511144879472237 0.8696352140 -0.2685786405 1.1244059017 0.9976628849 0.0208885872 -0.0261383292 0.0595753544
1520511144887805237 0.8751534495 -0.2680465410 1.1243839720 0.9976966359 0.0211800763 -0.0264099870 0.0587821369
1520511144896138237 0.8810144574 -0.2678562942 1.1244321004 0.9976507286 0.0210748004 -0.0265484064 0.0595319974
1520511144904472237 0.8867973462 -0.2676131613 1.1244982009 0.9976396949 0.0203499114 -0.0266611644 0.0599174640
1520511144912805237 0.8925592193 -0.2673061934 1.1244646837 0.9976327784 0.0200443022 -0.0268104340 0.0600688447
1520511144921138237 0.8983073939 -0.2669709027 1.1244101325 0.9976388956 0.0200836316 -0.0267113597 0.0599982088
1520511144929472237 0.9040265272 -0.2665574835 1.1241775354 0.9976315191 0.0203243224 -0.0269010116 0.0599550638
1520511144937805237 0.9098034593 -0.2662697312 1.1240835356 0.9976352733 0.0199931001 -0.0269006116 0.0600041215
1520511144946139237 0.9156684683 -0.2656776960 1.1235830616 0.9976278787 0.0210996097 -0.0280350570 0.0592237932
1520511144954472237 0.9213197238 -0.2654459364 1.1236081178 0.9976567823 0.0205261377 -0.0273682773 0.0592503142
1520511144962805237 0.9273103569 -0.2649920565 1.1230983240 0.9976116498 0.0209560954 -0.0285442298 0.0593048496
1520511144971139237 0.9330839217 -0.2645871995 1.1228771369 0.9976346431 0.0213201799 -0.0283924482 0.0588594743
1520511144979472237 0.9389760361 -0.2643552080 1.1228333603 0.9976495806 0.0209732379 -0.0283920073 0.0587310097
1520511144987805237 0.9445258302 -0.2637384518 1.1222852071 0.9976830611 0.0218456717 -0.0285501987 0.0577595222
1520511144996139237 0.9504734311 -0.2633271355 1.1219184619 0.9976840373 0.0221890587 -0.0289553170 0.0574090332
1520511145004472237 0.9563932858 -0.2628652031 1.1215516664 0.9976896133 0.0227323130 -0.0295020546 0.0568181863
1520511145012805237 0.9622791669 -0.2623030502 1.1211543494 0.9977209244 0.0235082802 -0.0300295557 0.0556645621
1520511145021138237 0.9681477294 -0.2619166894 1.1208411733 0.9977289973 0.0231555384 -0.0301742260 0.0555894334
1520511145029472237 0.9743235225 -0.2612455463 1.1202598726 0.9976777685 0.0252710628 -0.0313404479 0.0549383282
1520511145037805237 0.9800945208 -0.2610745628 1.1201221725 0.9977361549 0.0230207642 -0.0310633958 0.0550243134
1520511145046138237 0.9860974060 -0.2604082572 1.1197006511 0.9977364519 0.0245198050 -0.0319627616 0.0538436023
1520511145054472237 0.9921072254 -0.2600574747 1.1193379595 0.9977405427 0.0225435827 -0.0329912677 0.0540108570
1520511145062805237 0.9979979651 -0.2595101552 1.1191682720 0.9978065311 0.0223926206 -0.0336880052 0.0524005287
1520511145071139237 1.0039770761 -0.2591351009 1.1189543652 0.9978377666 0.0203441774 -0.0341360955 0.0523510544
